,Type
3428,0
14117,1
2507,1
15533,1
4681,0
16179,1
210,1
17700,0
14504,1
11946,0
4747,0
12575,0
10365,0
17267,0
11194,0
8916,1
1670,1
2320,1
3495,0
11020,0
10072,1
12068,0
15007,1
6387,1
16113,1
14194,1
7811,1
10480,0
15316,1
13499,0
484,1
6436,1
11624,0
11010,0
5828,0
13726,1
5437,0
8689,1
8040,1
14558,1
14791,1
2640,1
1250,1
15704,1
13421,0
5117,0
17069,1
8550,1
7115,1
10524,0
4861,0
2303,1
2652,1
17701,0
13255,0
4244,0
718,1
12388,0
13819,1
17464,0
15350,1
11071,0
16569,1
9419,1
16937,1
738,1
12386,0
7181,1
17185,0
6527,1
12341,0
1973,1
2556,1
17779,0
5436,0
15178,1
267,1
16024,1
2770,1
13039,0
2329,1
10864,0
10707,0
8902,1
12630,0
1275,1
15436,1
9595,1
15410,1
4819,0
15361,1
9704,1
11323,0
17624,0
2264,1
318,1
1536,1
10359,0
12830,0
7307,1
1369,1
740,1
7113,1
16168,1
1188,1
2065,1
8860,1
10184,0
12524,0
17692,0
2527,1
16160,1
6223,0
3487,0
6044,0
7484,1
8583,1
8231,1
9384,1
16543,1
6077,0
1233,1
13362,0
8285,1
8871,1
6153,0
14826,1
13488,0
16766,1
11885,0
7290,1
16443,1
16589,1
3488,0
1291,1
4919,0
16140,1
17281,0
12753,0
8317,1
9547,1
8818,1
10362,0
11282,0
11420,0
9581,1
11192,0
562,1
14393,1
17720,0
10336,0
5765,0
10317,0
3702,0
17094,1
2407,1
4377,0
3611,0
9808,1
11099,0
7026,1
9670,1
2910,1
13228,0
5734,0
9238,1
13400,0
5712,0
3166,1
7732,1
12495,0
17399,0
17112,1
8632,1
17277,0
2218,1
10341,0
1955,1
10527,0
1865,1
14841,1
12202,0
4786,0
1399,1
7513,1
13302,0
14108,1
14022,1
3068,1
10163,1
13384,0
2234,1
1112,1
11375,0
12216,0
5306,0
17188,0
7488,1
6334,0
4549,0
10417,0
15699,1
11214,0
15248,1
7474,1
14719,1
13522,1
3817,0
11267,0
14712,1
5327,0
6281,0
1434,1
18037,0
13390,0
15188,1
11790,0
15824,1
6586,0
9072,1
341,1
13604,1
16273,1
8709,1
10629,0
18023,0
10924,0
6347,0
9605,1
5473,0
3378,0
7539,1
5180,0
2777,1
10600,0
428,1
1437,1
17389,0
12523,0
9287,1
6248,0
16165,1
4692,0
17795,0
3478,0
6255,0
4504,0
7567,1
10464,0
17442,0
7712,1
65,1
15479,1
15744,1
13086,0
12252,0
16672,1
11368,0
5045,0
13345,0
6705,0
2865,1
5364,0
8416,1
7475,1
7261,1
5113,0
13799,1
16344,1
6025,0
9690,1
1691,1
9504,1
11353,0
1421,1
9962,1
17542,0
17435,0
819,1
16174,1
1660,1
6735,0
1843,1
14947,1
8380,1
12387,0
14182,1
4505,0
1285,1
17614,0
4303,0
7453,1
1941,1
17030,1
1091,1
10255,0
73,1
3397,0
14627,1
11461,0
4192,0
9863,1
16413,1
10418,0
9902,1
5064,0
4387,0
17646,0
7626,1
13555,1
12478,0
15219,1
15500,1
6185,0
782,1
5897,0
12005,0
3963,0
3937,0
11827,0
11766,0
7820,1
1110,1
4414,0
7615,1
15667,1
17219,0
13164,0
1825,1
3146,1
15242,1
16013,1
14775,1
144,1
11977,0
6192,0
15038,1
3514,0
16345,1
6071,0
15853,1
8748,1
13173,0
11610,0
15274,1
11235,0
10218,0
1830,1
13611,1
4181,0
12230,0
1219,1
8582,1
5957,0
15493,1
11490,0
15244,1
14127,1
9202,1
10441,0
1055,1
8877,1
594,1
16894,1
1525,1
7317,1
6834,1
5824,0
15184,1
4702,0
13959,1
17332,0
9838,1
16088,1
9731,1
12727,0
14245,1
8653,1
9478,1
17480,0
5382,0
12119,0
9988,1
8703,1
4974,0
81,1
9851,1
532,1
958,1
472,1
9317,1
2290,1
6609,0
14097,1
15119,1
14524,1
14977,1
11082,0
2899,1
12606,0
3954,0
4403,0
12103,0
16034,1
13470,0
13695,1
7019,1
12827,0
9071,1
5353,0
12223,0
4587,0
13425,0
18041,0
12514,0
7091,1
9022,1
16205,1
15278,1
11356,0
15099,1
9234,1
8426,1
3724,0
1264,1
4867,0
6733,0
4600,0
16162,1
10117,1
9881,1
5100,0
4371,0
17501,0
7780,1
4374,0
1272,1
4087,0
7682,1
11858,0
10421,0
5770,0
1897,1
15860,1
16332,1
15089,1
6355,0
6641,0
17900,0
15102,1
1458,1
10708,0
13373,0
16201,1
12157,0
3761,0
3585,0
715,1
14037,1
16700,1
1118,1
14878,1
1287,1
5557,0
13194,0
7272,1
7441,1
2316,1
1417,1
9442,1
8990,1
13482,0
15432,1
7672,1
6234,0
994,1
9068,1
4292,0
7051,1
11133,0
2636,1
15192,1
296,1
1864,1
11887,0
14299,1
16734,1
1145,1
7425,1
18005,0
14904,1
17066,1
4829,0
16081,1
9389,1
17763,0
13257,0
12593,0
4605,0
11247,0
7841,1
10155,1
1835,1
10402,0
7668,1
15951,1
14346,1
11102,0
16750,1
5852,0
11292,0
15330,1
18027,0
7273,1
6826,1
477,1
14280,1
17104,1
4190,0
17534,0
17017,1
9758,1
8546,1
642,1
549,1
4462,0
14709,1
13340,0
15191,1
1793,1
1692,1
15691,1
5430,0
10191,0
493,1
11300,0
4253,0
14581,1
11833,0
1463,1
8406,1
15841,1
16665,1
16400,1
12660,0
14912,1
13671,1
2287,1
17089,1
7978,1
8451,1
965,1
444,1
9656,1
6348,0
16461,1
6674,0
438,1
12669,0
17032,1
13165,0
8393,1
7808,1
7883,1
9251,1
11712,0
5261,0
467,1
17747,0
3751,0
9402,1
756,1
8223,1
2688,1
5186,0
16272,1
8054,1
3958,0
915,1
9059,1
4511,0
1374,1
10162,1
15669,1
12711,0
17491,0
9880,1
16856,1
17355,0
6572,0
16396,1
537,1
16732,1
8126,1
5215,0
9233,1
14612,1
15873,1
17186,0
9531,1
12420,0
2186,1
12865,0
15865,1
7283,1
10439,0
11219,0
1432,1
10236,0
14491,1
11953,0
2752,1
6270,0
332,1
3030,1
2102,1
1362,1
306,1
10423,0
3891,0
11148,0
10107,1
1995,1
2952,1
7839,1
16811,1
16932,1
5403,0
11183,0
9586,1
5292,0
14673,1
17446,0
17956,0
4925,0
9538,1
6244,0
17807,0
9895,1
15300,1
2447,1
15633,1
10250,0
10172,1
15291,1
1115,1
10958,0
8382,1
12090,0
3466,0
5145,0
15663,1
11913,0
4339,0
17930,0
7061,1
10388,0
10522,0
14406,1
5070,0
5825,0
12140,0
8460,1
15175,1
10502,0
7231,1
11703,0
5383,0
6769,0
134,1
14356,1
10510,0
14744,1
7025,1
17991,0
17724,0
799,1
14856,1
9711,1
6840,1
427,1
12515,0
9980,1
4687,0
10735,0
11731,0
9426,1
2538,1
5992,0
1255,1
7223,1
16087,1
15181,1
4801,0
2724,1
17257,0
17156,0
3131,1
11266,0
1926,1
14253,1
16440,1
3037,1
8934,1
13288,0
11839,0
9717,1
8083,1
10565,0
15806,1
8932,1
8503,1
9505,1
17373,0
3746,0
17628,0
5369,0
5922,0
10597,0
8227,1
17717,0
13442,0
7640,1
3157,1
6884,1
6018,0
4096,0
16719,1
15142,1
14401,1
17128,0
10237,0
14650,1
6739,0
16372,1
3503,0
14614,1
13191,0
10866,0
16058,1
7514,1
2314,1
17801,0
13295,0
8573,1
2018,1
9455,1
8773,1
9253,1
12190,0
9593,1
10992,0
7666,1
8454,1
5226,0
13519,0
4540,0
7078,1
15639,1
7726,1
6011,0
11316,0
7220,1
4126,0
3639,0
12034,0
8723,1
11808,0
7862,1
4080,0
8377,1
3448,0
17028,1
4962,0
17488,0
43,1
17,0
797,1
5467,0
1883,1
13092,0
15331,1
2372,1
1198,1
9498,1
16651,1
7576,1
12210,0
6167,0
4094,0
12521,0
480,1
7126,1
9425,1
17171,0
12509,0
12053,0
14649,1
6939,1
17377,0
1331,1
3930,0
13866,1
3305,0
4355,0
13766,1
443,1
15911,1
9522,1
14543,1
15267,1
1420,1
5205,0
16895,1
12864,0
17133,0
1709,1
1063,1
430,1
17201,0
16263,1
2328,1
227,1
16912,1
577,1
4233,0
14475,1
684,1
6818,1
5220,0
11982,0
3785,0
14516,1
5794,0
761,1
3588,0
8200,1
796,1
17831,0
7369,1
10474,0
14729,1
6973,1
13475,0
16537,1
17108,1
14175,1
16085,1
6037,0
6431,1
433,1
528,1
2758,1
5688,0
12049,0
14583,1
12348,0
1654,1
1292,1
7782,1
15121,1
591,1
12744,0
14677,1
16671,1
5137,0
15005,1
2392,1
6613,0
2221,1
11275,0
14811,1
10354,0
9319,1
1278,1
14341,1
14055,1
9819,1
10643,0
16226,1
17955,0
7708,1
5697,0
9876,1
6635,0
14339,1
17793,0
11736,0
14715,1
6577,0
2847,1
13618,1
16119,1
5081,0
12486,0
18021,0
10404,0
16059,1
23,0
7889,1
10029,1
4635,0
9432,1
12299,0
15047,1
3540,0
13696,1
8336,1
13642,1
2383,1
17294,0
5977,0
1160,1
16275,1
5955,0
17694,0
16021,1
14014,1
10918,0
5554,0
8409,1
2768,1
15780,1
13085,0
8191,1
1573,1
6695,0
14959,1
16812,1
13763,1
9199,1
10428,0
5376,0
16512,1
14762,1
1329,1
8300,1
3916,0
3772,0
5484,0
6081,0
16945,1
1050,1
3350,0
12221,0
1886,1
623,1
10884,0
9990,1
1339,1
17950,0
5837,0
7412,1
1076,1
3080,1
14920,1
6750,0
3794,0
1501,1
4995,0
8225,1
14758,1
2386,1
9362,1
12403,0
9004,1
6247,0
15464,1
9976,1
5709,0
2532,1
516,1
672,1
1100,1
10811,0
17203,0
11621,0
9841,1
10870,0
13824,1
4722,0
6890,1
13338,0
6112,0
4238,0
6435,1
15451,1
12749,0
7134,1
16167,1
17167,0
8603,1
16343,1
1472,1
14506,1
9937,1
15415,1
9671,1
7463,1
849,1
8968,1
9815,1
9845,1
14350,1
9634,1
1038,1
2210,1
14093,1
3526,0
9816,1
3202,1
14860,1
982,1
17131,0
12151,0
1284,1
14476,1
3424,0
414,1
3593,0
10909,0
12083,0
14284,1
14463,1
15333,1
16584,1
4717,0
2094,1
1004,1
12661,0
8545,1
13309,0
11921,0
2340,1
14618,1
265,1
9989,1
7874,1
3279,1
12969,0
7691,1
3333,0
13332,0
7248,1
12204,0
10352,0
3542,0
8011,1
253,1
12007,0
17964,0
1148,1
2142,1
6092,0
6403,1
3851,0
1728,1
1082,1
1671,1
10580,0
3242,1
6485,1
7975,1
15655,1
16562,1
1503,1
10688,0
1971,1
16652,1
9883,1
15387,1
7029,1
3798,0
4863,0
6741,0
4412,0
7877,1
694,1
5729,0
15032,1
3855,0
5964,0
15809,1
12159,0
14523,1
8729,1
17667,0
12409,0
14776,1
998,1
3094,1
6978,1
11504,0
7364,1
2114,1
12022,0
2273,1
10220,0
9617,1
3244,1
11361,0
6182,0
3100,1
13593,1
4817,0
15235,1
13551,1
3563,0
9508,1
18003,0
11643,0
4472,0
6176,0
15179,1
6312,0
17469,0
1796,1
13634,1
16699,1
11620,0
15754,1
15931,1
17341,0
8922,1
2635,1
11160,0
6684,0
8091,1
15779,1
8253,1
3231,1
16288,1
13268,0
17572,0
2484,1
4842,0
11652,0
11668,0
7205,1
4590,0
5967,0
14678,1
10137,1
5350,0
952,1
16410,1
15702,1
8410,1
5664,0
9382,1
7028,1
13160,0
3409,0
10342,0
4775,0
1718,1
5444,0
12037,0
11480,0
13540,1
7733,1
15298,1
10429,0
14374,1
6482,1
8739,1
14986,1
10826,0
14836,1
2564,1
5928,0
6661,0
8374,1
5632,0
5152,0
1146,1
16464,1
1937,1
16979,1
1031,1
3884,0
15216,1
13609,1
10903,0
17313,0
456,1
13924,1
3336,0
5397,0
10940,0
3858,0
10609,0
96,1
3507,0
3130,1
2474,1
6780,0
3931,0
6618,0
2627,1
3773,0
9755,1
2239,1
13811,1
10462,0
10569,0
3853,0
14717,1
3027,1
5747,0
5138,0
11484,0
2389,1
12562,0
9440,1
1592,1
2391,1
3082,1
11505,0
380,1
9147,1
13978,1
10999,0
14311,1
5156,0
3181,1
15570,1
8309,1
9770,1
1663,1
2901,1
4099,0
16078,1
8908,1
5088,0
16331,1
2540,1
14001,1
11398,0
14112,1
6407,1
6883,1
12047,0
8645,1
8663,1
2354,1
2134,1
7884,1
8537,1
2397,1
16381,1
15401,1
4184,0
891,1
2576,1
2373,1
12751,0
15535,1
13344,0
12309,0
12141,0
11856,0
13578,1
1281,1
9330,1
17863,0
14147,1
5640,0
10631,0
9406,1
9705,1
2515,1
10337,0
4262,0
11557,0
5631,0
1471,1
415,1
8142,1
6346,0
5013,0
6958,1
5778,0
7188,1
9015,1
3695,0
710,1
14756,1
16203,1
3528,0
4503,0
8358,1
2528,1
1249,1
14533,1
9228,1
2893,1
14687,1
1495,1
16510,1
13566,1
6249,0
8035,1
12634,0
9750,1
4091,0
13028,0
2888,1
14872,1
16257,1
11474,0
1523,1
11396,0
17394,0
7249,1
5206,0
1241,1
1406,1
3319,0
8268,1
14728,1
916,1
527,1
1811,1
9552,1
288,1
11758,0
7974,1
17751,0
10792,0
14131,1
14676,1
12082,0
13426,0
11215,0
9212,1
6264,0
9282,1
8238,1
14144,1
4227,0
9965,1
1486,1
2503,1
6107,0
16463,1
3012,1
11037,0
774,1
9334,1
6455,1
1631,1
15353,1
11118,0
11418,0
9305,1
11008,0
469,1
2750,1
11073,0
15081,1
9982,1
16885,1
5700,0
14611,1
16707,1
8398,1
10127,1
13112,0
5740,0
598,1
4562,0
10080,1
10927,0
4001,0
4659,0
1905,1
13282,0
12404,0
4684,0
15118,1
12092,0
14180,1
10790,0
13648,1
5683,0
9545,1
8823,1
10834,0
12568,0
5080,0
7198,1
13614,1
5790,0
8295,1
16213,1
16784,1
11960,0
16092,1
1446,1
11384,0
1330,1
17670,0
1419,1
7664,1
15056,1
10465,0
14157,1
11373,0
6187,0
7309,1
7034,1
6000,0
13528,1
2837,1
9843,1
3757,0
3218,1
3573,0
3132,1
15576,1
3520,0
6594,0
16180,1
9703,1
6126,0
2588,1
11290,0
3338,0
4695,0
10514,0
17148,0
14206,1
15109,1
3353,0
4308,0
1758,1
10427,0
9869,1
15480,1
13805,1
6806,1
17613,0
852,1
1494,1
17239,0
15061,1
2464,1
8289,1
12780,0
12238,0
6384,1
4483,0
12084,0
7033,1
10311,0
13055,0
5219,0
17663,0
9688,1
2332,1
16568,1
7234,1
17750,0
4608,0
15564,1
14251,1
4574,0
16820,1
500,1
13816,1
10727,0
12147,0
1046,1
12893,0
11457,0
7854,1
2633,1
10075,1
10219,0
12480,0
12262,0
11825,0
13956,1
10074,1
14825,1
14684,1
16711,1
5625,0
3139,1
10346,0
9722,1
16027,1
13383,0
777,1
8176,1
6443,1
8064,1
11693,0
4019,0
1194,1
13581,1
51,1
5652,0
8211,1
2304,1
10547,0
8778,1
16267,1
6083,0
1113,1
2982,1
656,1
15621,1
3254,1
8888,1
4921,0
5890,0
1187,1
14091,1
17990,0
14929,1
9660,1
6909,1
6005,0
565,1
4118,0
5899,0
12139,0
12746,0
5681,0
840,1
3888,0
1642,1
11339,0
7641,1
8282,1
11967,0
15170,1
17250,0
2666,1
1972,1
17115,1
7885,1
17731,0
10982,0
1149,1
4783,0
4092,0
11523,0
7039,1
13748,1
14777,1
765,1
1440,1
14838,1
10493,0
1485,1
3872,0
5662,0
11797,0
16571,1
8147,1
4865,0
11785,0
2620,1
12618,0
10596,0
6709,0
12493,0
3026,1
11764,0
4102,0
1298,1
17570,0
5107,0
14993,1
6338,0
7639,1
2022,1
15290,1
12736,0
7372,1
8144,1
2685,1
14862,1
12476,0
12964,0
7785,1
1025,1
17445,0
911,1
8413,1
10885,0
16695,1
11042,0
5768,0
6076,0
5716,0
10154,1
15461,1
1345,1
1444,1
3498,0
10887,0
3499,0
16276,1
9143,1
16621,1
6206,0
9178,1
2422,1
8485,1
8836,1
2732,1
80,1
4217,0
4242,0
13933,1
8323,1
17040,1
15739,1
1359,1
4739,0
9542,1
16020,1
11095,0
1572,1
5914,0
2162,1
879,1
1578,1
10947,0
7573,1
1509,1
1896,1
9050,1
13793,1
12122,0
11392,0
4112,0
11646,0
12974,0
1845,1
4021,0
8821,1
12335,0
15943,1
7882,1
7838,1
4568,0
9862,1
14706,1
8727,1
8237,1
4742,0
5199,0
16108,1
7508,1
2605,1
17414,0
15145,1
17707,0
10392,0
5096,0
5279,0
10986,0
3486,0
12596,0
12257,0
13072,0
3614,0
8327,1
2108,1
14120,1
4309,0
14806,1
18020,0
8131,1
10915,0
11006,0
5595,0
4696,0
9124,1
6032,0
5323,0
16656,1
9150,1
17006,1
15849,1
17588,0
8892,1
7773,1
7247,1
16989,1
11236,0
636,1
791,1
4325,0
3219,1
10504,0
6282,0
11026,0
10369,0
14499,1
1193,1
45,1
10801,0
11822,0
976,1
13498,0
7729,1
13453,0
5674,0
6786,1
16992,1
2963,1
5563,0
10279,0
1584,1
12973,0
8351,1
4515,0
16900,1
6075,0
12902,0
1975,1
3912,0
5121,0
13040,0
11018,0
4411,0
16772,1
9934,1
3714,0
6889,1
14395,1
15574,1
8195,1
2840,1
12534,0
9541,1
13829,1
16079,1
14385,1
6212,0
11794,0
12558,0
9191,1
12277,0
432,1
9422,1
13274,0
7600,1
1832,1
37,1
10925,0
6203,0
3988,0
14404,1
713,1
559,1
12794,0
12760,0
2335,1
14851,1
8803,1
17806,0
17437,0
12056,0
14708,1
14092,1
11522,0
11697,0
14600,1
1597,1
4490,0
8232,1
10772,0
16091,1
14616,1
4302,0
3006,1
14364,1
12720,0
625,1
7523,1
5830,0
1741,1
9954,1
8842,1
2829,1
16802,1
11773,0
8725,1
9601,1
16148,1
11000,0
14832,1
8027,1
3413,0
11327,0
8331,1
10838,0
906,1
14496,1
760,1
3118,1
986,1
12044,0
11455,0
9672,1
8477,1
12273,0
11508,0
295,1
12248,0
1785,1
4382,0
13090,0
5318,0
5854,0
14560,1
16004,1
10780,0
5733,0
5769,0
15112,1
15174,1
3574,0
9585,1
7407,1
11330,0
15456,1
7313,1
2648,1
2586,1
6576,0
3160,1
3182,1
11496,0
2377,1
4803,0
12038,0
5692,0
16535,1
5392,0
17225,0
11476,0
8763,1
16854,1
13354,0
13023,0
5372,0
12923,0
1613,1
5829,0
9069,1
16757,1
2015,1
12072,0
17251,0
5756,0
603,1
5329,0
10761,0
7012,1
243,1
9848,1
8600,1
8298,1
6802,1
15582,1
17020,1
17324,0
4830,0
10009,1
5344,0
5202,0
11054,0
16659,1
13134,0
10760,0
12609,0
3960,0
3873,0
179,1
13783,1
4793,0
7436,1
5958,0
15348,1
17206,0
17368,0
13444,0
11900,0
8221,1
17951,0
2801,1
8948,1
2922,1
15634,1
7741,1
16720,1
1245,1
13731,1
4537,0
4053,0
5931,0
3239,1
108,1
11277,0
10411,0
14976,1
9563,1
15138,1
5844,0
11542,0
4394,0
5873,0
16669,1
11547,0
10471,0
16528,1
4348,0
11679,0
9115,1
10881,0
8776,1
10432,0
5150,0
10149,1
9357,1
8655,1
973,1
4299,0
3653,0
5872,0
4838,0
7598,1
7377,1
16181,1
10308,0
3088,1
9969,1
7195,1
8819,1
7464,1
2825,1
6330,0
10,0
5868,0
1426,1
16131,1
15693,1
15927,1
4814,0
11249,0
12837,0
2784,1
12259,0
9896,1
1344,1
14125,1
372,1
909,1
3399,0
496,1
12637,0
13687,1
5302,0
12365,0
1244,1
4365,0
13785,1
1195,1
15198,1
4953,0
1423,1
8965,1
256,1
8205,1
12073,0
6287,0
15769,1
10057,1
11422,0
16258,1
17875,0
1232,1
9020,1
14149,1
10349,0
11226,0
15210,1
15966,1
5130,0
5912,0
14330,1
6127,0
14903,1
10899,0
7819,1
6507,1
10873,0
1379,1
7689,1
3688,0
12033,0
4759,0
14563,1
15275,1
3790,0
5799,0
652,1
13900,1
7872,1
16418,1
8596,1
5328,0
7219,1
15648,1
8722,1
14779,1
6152,0
10363,0
14529,1
11179,0
10961,0
12431,0
9606,1
2916,1
11941,0
1506,1
11152,0
14576,1
9664,1
1648,1
4890,0
730,1
6766,0
11752,0
10434,0
8201,1
17105,1
5221,0
2709,1
5902,0
12181,0
16868,1
13788,1
1543,1
13594,1
3126,1
1156,1
13061,0
5985,0
32,1
7187,1
11756,0
6300,0
1610,1
939,1
13441,0
4023,0
11912,0
745,1
4083,0
16762,1
5582,0
2877,1
4701,0
2651,1
17064,1
8647,1
5646,0
1821,1
11899,0
7413,1
16255,1
7146,1
957,1
2110,1
9039,1
15373,1
9877,1
7631,1
17665,0
17383,0
7923,1
8665,1
14417,1
15670,1
13195,0
2960,1
4640,0
2399,1
7310,1
7251,1
5487,0
16884,1
15065,1
12662,0
17730,0
2625,1
15378,1
3148,1
17151,0
11915,0
2873,1
9716,1
8297,1
12126,0
76,1
12488,0
17985,0
12428,0
10025,1
16445,1
6651,0
4947,0
16744,1
93,1
16559,1
13571,1
2731,1
7171,1
6791,1
4810,0
12354,0
2338,1
14448,1
7844,1
14332,1
1885,1
9299,1
5773,0
4323,0
8190,1
9260,1
17698,0
13298,0
9157,1
15617,1
2759,1
10458,0
13100,0
7849,1
14597,1
2465,1
13837,1
5393,0
5404,0
9901,1
16235,1
8769,1
11625,0
3621,0
2317,1
13834,1
2185,1
4477,0
1155,1
15627,1
329,1
11596,0
14874,1
14328,1
6521,1
2997,1
17473,0
11318,0
4392,0
11321,0
12501,0
2463,1
2846,1
7586,1
2191,1
10038,1
6668,0
15416,1
8163,1
16060,1
7593,1
6302,0
12804,0
5909,0
8730,1
17872,0
13293,0
13952,1
12307,0
7581,1
4047,0
10746,0
11056,0
5298,0
2322,1
4240,0
6745,0
2492,1
7612,1
6902,1
5234,0
3272,1
5273,0
2889,1
18018,0
788,1
3347,0
11647,0
11518,0
10140,1
11586,0
17961,0
16007,1
6196,0
7694,1
13948,1
3377,0
583,1
349,1
13063,0
8005,1
3349,0
13844,1
801,1
3531,0
12384,0
14465,1
5173,0
8909,1
10768,0
11391,0
17678,0
3091,1
10778,0
7709,1
6853,1
2756,1
6458,1
1616,1
6942,1
9025,1
14246,1
13277,0
5087,0
12349,0
8077,1
8991,1
11838,0
14966,1
2401,1
16793,1
17286,0
16978,1
11945,0
7232,1
3878,0
6912,1
9468,1
1702,1
9792,1
5641,0
12566,0
17817,0
4521,0
9571,1
3541,0
10604,0
7764,1
9568,1
14312,1
17841,0
2211,1
10347,0
10979,0
3133,1
9735,1
12954,0
11782,0
18028,0
5938,0
4320,0
17922,0
2107,1
15616,1
3034,1
15872,1
7062,1
4663,0
10815,0
14013,1
2367,1
9942,1
440,1
16623,1
16072,1
10303,0
832,1
15169,1
3064,1
7714,1
13084,0
1224,1
11377,0
2592,1
3247,1
6849,1
8023,1
10305,0
10824,0
8985,1
2691,1
11209,0
17599,0
14061,1
8852,1
13388,0
11884,0
10246,0
12546,0
3196,1
16660,1
486,1
13207,0
10413,0
783,1
6596,0
10880,0
12308,0
3238,1
15565,1
873,1
11149,0
2047,1
104,1
10489,0
10931,0
1915,1
6499,1
5684,0
6728,0
3632,0
109,1
2138,1
12663,0
16128,1
15371,1
12947,0
16691,1
9090,1
3324,0
17396,0
4480,0
12460,0
14778,1
10120,1
9994,1
14991,1
4811,0
15767,1
10113,1
6131,0
10059,1
8903,1
9893,1
17145,0
7332,1
10000,1
1834,1
11852,0
12584,0
8973,1
17699,0
11346,0
17468,0
13138,0
16949,1
3003,1
8215,1
14615,1
5389,0
12004,0
1309,1
3475,0
789,1
15881,1
10111,1
7740,1
3284,1
12214,0
2514,1
9469,1
14748,1
16431,1
11896,0
6227,0
13317,0
8937,1
8791,1
11966,0
5006,0
6214,0
12459,0
5257,0
13337,0
10090,1
16494,1
12610,0
3301,0
16736,1
6843,1
9189,1
7990,1
5406,0
712,1
16150,1
4409,0
13872,1
5920,0
12513,0
5411,0
14408,1
550,1
10467,0
3241,1
17733,0
13320,0
11343,0
8493,1
16261,1
3264,1
5061,0
8444,1
2098,1
7001,1
7292,1
3671,0
14410,1
13674,1
13316,0
4416,0
17705,0
11408,0
12447,0
16340,1
2934,1
10002,1
6597,0
11759,0
9791,1
4833,0
16425,1
16974,1
12548,0
16823,1
10603,0
13647,1
56,1
3412,0
2855,1
400,1
2986,1
6605,0
16070,1
11051,0
12617,0
6554,0
8780,1
7258,1
11165,0
5781,0
13920,1
8939,1
14271,1
7233,1
9364,1
519,1
1755,1
4508,0
14008,1
11227,0
5263,0
1069,1
8340,1
8419,1
11636,0
6611,0
13754,1
665,1
11399,0
716,1
13078,0
1699,1
1877,1
13751,1
17085,1
7320,1
15532,1
6800,1
16006,1
7065,1
7140,1
12787,0
10021,1
6861,1
8168,1
9340,1
9129,1
8128,1
6592,0
8672,1
13335,0
91,1
2577,1
11567,0
8384,1
16663,1
14971,1
17660,0
15559,1
3896,0
14073,1
1349,1
9213,1
9511,1
3777,0
14767,1
15108,1
14450,1
4050,0
14009,1
7705,1
10543,0
2762,1
3581,0
7105,1
6372,0
11928,0
16499,1
5062,0
3602,0
15486,1
6948,1
7756,1
8897,1
9646,1
15630,1
6017,0
9458,1
2956,1
12806,0
14556,1
7520,1
1103,1
9492,1
10970,0
13477,0
13789,1
1558,1
2488,1
15604,1
16742,1
3523,0
4542,0
11699,0
3400,0
10615,0
17776,0
9055,1
9056,1
2272,1
2374,1
12487,0
9616,1
12628,0
292,1
2870,1
10581,0
10495,0
11450,0
16987,1
4879,0
15680,1
17275,0
16849,1
4418,0
12507,0
356,1
686,1
4584,0
837,1
7013,1
14857,1
9201,1
9640,1
1726,1
17231,0
14462,1
2362,1
12540,0
3179,1
13491,0
10224,0
12811,0
4223,0
11040,0
9975,1
7379,1
8101,1
6967,1
6166,0
6461,1
3061,1
889,1
966,1
9676,1
1963,1
16638,1
14387,1
17671,0
14040,1
13595,1
2835,1
7213,1
13016,0
12998,0
2268,1
3770,0
10119,1
13126,0
132,1
15594,1
17194,0
11761,0
6839,1
393,1
6558,0
10585,0
3928,0
11609,0
8401,1
4036,0
16996,1
10557,0
8183,1
225,1
16348,1
17466,0
6777,0
4613,0
16628,1
15297,1
8593,1
11416,0
12907,0
17227,0
15898,1
5008,0
10261,0
3403,0
3515,0
3883,0
6755,0
16767,1
2908,1
4261,0
8071,1
2423,1
11662,0
5264,0
15262,1
13698,1
3548,0
16071,1
15016,1
15053,1
15816,1
10624,0
15200,1
16271,1
15051,1
6895,1
5501,0
8047,1
809,1
14666,1
2650,1
9826,1
17969,0
15867,1
3190,1
3620,0
3650,0
14830,1
14181,1
13054,0
4070,0
8290,1
1394,1
15546,1
3370,0
17742,0
13543,1
13685,1
12357,0
14844,1
13570,1
9924,1
8856,1
13133,0
7903,1
1736,1
1568,1
462,1
743,1
8414,1
17455,0
3994,0
8817,1
6284,0
16843,1
16560,1
16307,1
14057,1
5494,0
16154,1
16791,1
4335,0
12709,0
10630,0
17178,0
5114,0
7174,1
8587,1
12698,0
5212,0
13544,1
9034,1
16970,1
21,0
14294,1
2902,1
17695,0
5534,0
9957,1
779,1
12878,0
7420,1
17485,0
10989,0
6528,1
3431,0
17558,0
11804,0
16218,1
4725,0
1469,1
16341,1
16074,1
16804,1
9378,1
14033,1
14250,1
8424,1
368,1
16583,1
12195,0
64,1
4210,0
9274,1
12385,0
1721,1
11762,0
5324,0
4060,0
7280,1
1824,1
16068,1
15722,1
12491,0
3232,1
17024,1
1918,1
16253,1
1569,1
1831,1
8539,1
1242,1
17830,0
13347,0
9237,1
4656,0
9804,1
8998,1
13561,1
15054,1
8343,1
16489,1
10385,0
8893,1
4859,0
7490,1
9818,1
10281,0
1222,1
1777,1
12352,0
12240,0
15082,1
11208,0
9926,1
8701,1
15736,1
6400,1
13914,1
748,1
7271,1
5246,0
1259,1
7173,1
1888,1
17948,0
711,1
17283,0
13136,0
12324,0
7937,1
